Designator,Mid X,Mid Y,Rotation,Layer
D1,117.5,-65.0,270.0,bottom
D2,117.5,-84.0,270.0,bottom
D3,117.5,-103.0,270.0,bottom
D4,136.5,-65.0,270.0,bottom
D5,136.5,-84.0,270.0,bottom
D6,136.5,-103.0,270.0,bottom
D7,146.19,-58.0,180.0,bottom
D8,145.5,-77.0,180.0,bottom
D9,145.5,-96.0,180.0,bottom
S1,107.87,-65.285,0.0,top
S2,107.87,-84.335,0.0,top
S3,107.87,-103.335,0.0,top
S4,126.96,-65.285,0.0,top
S5,126.92,-84.335,0.0,top
S6,126.92,-103.335,0.0,top
S7,145.92,-65.285,0.0,top
S8,145.92,-84.335,0.0,top
S9,145.92,-103.335,0.0,top
SW1,138.75,-47.0,0.0,top
U1,115.8975,-47.46,0.0,top
